TransactionID,UserID,RecipientID,Amount,Type,Date,UtilityType
1,428,241,14.59,P2P,13-04-24,
2,277,488,178.23,P2P,23-08-24,
3,333,400,478.86,P2P,01-12-24,
4,21,487,127.41,P2P,01-12-24,
5,430,319,80.43,P2P,03-03-24,
6,65,,140.5,Utility,08-01-25,Water
7,486,239,351.24,P2P,10-08-24,
8,393,,50.2,Utility,19-04-24,Water
9,494,4,780.01,Merchant,11-11-24,
10,84,,39.46,Utility,02-01-25,Electricity
11,476,,123.64,Utility,21-06-24,Gas
12,204,7,85.24,Merchant,02-10-24,
13,354,8,110.88,Merchant,29-08-24,
14,396,,173.05,Utility,29-09-24,Water
15,413,408,492,P2P,08-03-24,
16,401,178,268.71,P2P,06-09-24,
17,339,,32.41,Utility,25-04-24,Water
18,175,435,212.93,P2P,19-11-24,
19,251,222,480.59,P2P,05-05-24,
20,326,,147.32,Utility,26-05-24,Gas
21,91,17,965.82,Merchant,15-05-24,
22,139,18,776.9,Merchant,29-02-24,
23,239,,168.63,Utility,15-02-24,Water
24,138,,173.31,Utility,21-06-24,Electricity
25,143,,63.9,Utility,26-06-24,Gas
26,292,13,343.03,Merchant,29-07-24,
27,254,,52.73,Utility,12-03-24,Electricity
28,182,,81.26,Utility,25-08-24,Water
29,360,,120.04,Utility,24-07-24,Water
30,486,44,124.47,P2P,16-09-24,
31,209,,119.93,Utility,22-12-24,Electricity
32,354,,136.26,Utility,10-11-24,Gas
33,230,48,150.65,P2P,31-03-24,
34,208,8,313.14,Merchant,29-12-24,
35,298,,105.19,Utility,24-03-24,Water
36,177,,199.39,Utility,20-12-24,Water
37,170,,146.51,Utility,09-07-24,Gas
38,157,,61.5,Utility,21-01-24,Water
39,99,,41.52,Utility,19-03-24,Water
40,487,6,199.63,Merchant,01-03-24,
41,379,,69.77,Utility,25-06-24,Water
42,390,20,290.17,Merchant,26-04-24,
43,52,152,117.6,P2P,07-11-24,
44,92,,22.55,Utility,17-08-24,Water
45,65,,28.19,Utility,17-10-24,Electricity
46,284,,145.54,Utility,10-01-25,Electricity
47,327,,38.47,Utility,15-07-24,Electricity
48,294,,104.49,Utility,29-10-24,Gas
49,175,495,30.43,P2P,23-02-24,
50,482,,40.54,Utility,04-03-24,Electricity
51,206,,33.33,Utility,17-12-24,Water
52,352,78,78.85,P2P,28-01-24,
53,289,,35.33,Utility,03-12-24,Electricity
54,61,14,610.25,Merchant,30-06-24,
55,405,8,777.94,Merchant,10-04-25,
